Method,Path,Delegated Permissions,App Permissions,Owner,In v1.0,Has Granular Permissions,v1.0 + granular,Doc link
GET   ,/users/{user-id | user-principal-name}/teamwork/installedApps/{id},TeamsAppInstallation.ReadForUser  TeamsAppInstallation.ReadWriteSelfForUser  TeamsAppInstallation.ReadWriteForUser,TeamsAppInstallation.ReadForUser.All  TeamsAppInstallation.ReadWriteSelfForUser.All  TeamsAppInstallation.ReadWriteForUser.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/userteamwork-get-installedapps?view=graph-rest-beta
DELETE,/users/{user-id | user-principal-name}/teamwork/installedApps/{id},TeamsAppInstallation.ReadWriteSelfForUser  TeamsAppInstallation.ReadWriteForUser,TeamsAppInstallation.ReadWriteSelfForUser.All  TeamsAppInstallation.ReadWriteForUser.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/userteamwork-delete-installedapps?view=graph-rest-beta
GET   ,/users/{user-id | user-principal-name}/teamwork/installedApps/{id}/chat,TeamsAppInstallation.ReadForUser  TeamsAppInstallation.ReadWriteSelfForUser  TeamsAppInstallation.ReadWriteForUser,TeamsAppInstallation.ReadForUser.All  TeamsAppInstallation.ReadWriteSelfForUser.All  TeamsAppInstallation.ReadWriteForUser.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/userscopeteamsappinstallation-get-chat?view=graph-rest-beta
POST  ,/users/{user-id | user-principal-name}/teamwork/installedApps/{id}/upgrade,TeamsAppInstallation.ReadWriteSelfForUser  TeamsAppInstallation.ReadWriteForUser,TeamsAppInstallation.ReadWriteSelfForUser.All  TeamsAppInstallation.ReadWriteForUser.All,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/userteamwork-teamsappinstallation-upgrade?view=graph-rest-beta
POST  ,/users/{userId | user-principal-name}/teamwork/sendActivityNotification,TeamsActivity.Send,TeamsActivity.Send,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/userteamwork-sendactivitynotification?view=graph-rest-beta
DELETE,appCatalogs/teamsApps/{appId}/appDefinitions/{appDefinitionId},AppCatalog.Submit  AppCatalog.ReadWrite.All  Directory.ReadWrite.All,Not supported,GraphFw,True,True,True,https://docs.microsoft.com/graph/api/teamsapp-delete?view=graph-rest-beta
POST  ,https://bot.contoso.com/api/calls,Not Supported,Calls.JoinGroupCallsasGuest.All or Calls.JoinGroupCalls.All,IC3,True,True,True,https://docs.microsoft.com/graph/api/participant-mute?view=graph-rest-beta
GET   ,me/onlineMeetings({id})/transcripts,OnlineMeetingTranscript.Read.All,OnlineMeetingTranscript.Read.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/calltranscript-get?view=graph-rest-beta
GET   ,users({id})/onlineMeetings({id})/transcripts,OnlineMeetingTranscript.Read.All,OnlineMeetingTranscript.Read.All,IC3,False,True,False,https://docs.microsoft.com/graph/api/calltranscript-get?view=graph-rest-beta

Graph Framework APIs:
99% of Teams Graph APIs have granular permissions (anything other than Group.Read/ReadWrite.All)
